Year,Merlangius merlangus,Merluccius merluccius,Merluccius merluccius2,Micromesistius poutassou,Merluccius merluccius3,Merluccius merluccius4,Merlangius merlangus 2
1972,0.01,0.01,500,300,1239,12938,0.01
1973,0.01,0.01,500,300,1828,11525,0.01
1974,0.01,0.01,1268,593,1779,13574,0.01
1975,0.01,0.01,1948,527,1581,14330,0.01
1976,0.01,0.01,1776,604,1812,16162,0.01
1977,0.01,0.01,1714,624,1871,17174,0.01
1978,0.01,0.01,2222,668,2003,13468,0.01
1979,0.01,0.01,1747,575,1725,12086,0.01
1980,0.01,0.01,2565,586,1758,11378,0.01
1981,0.01,0.01,2463,562,1685,14552,0.01
1982,0.01,0.01,2288,680,2147,16197,0.01
1983,0.01,0.01,2277,1076,2351,21623,0.01
1984,0.01,0.01,1566,837,2615,27473,0.01
1985,0.01,0.01,1587,693,3062,33480,0.01
1986,0.01,0.01,1658,1147,3812,23687,0.01
1987,0.01,0.01,1568,1648,3025,25093,0.01
1988,0.01,0.01,2216,1099,3714,27786,0.01
1989,0.01,0.01,1877,1504,4206,24745,0.01
1990,0.01,0.01,1761,1136,3789,20473,0.01
1991,0.01,0.01,3694,1141,3221,24838,0.01
1992,0.01,1057,4275,1449,4141,28433,0.01
1993,0.01,1589,4006,1858,5043,34001,0.01
1994,0.01,1230,1955,2281,6390,36334,0.01
1995,0.01,1129,1775,1944,5369,37680,0.01
1996,0.01,929,1423,1226,4579,30707,0.01
1997,0.01,828,1423,1558,4248,17971,0.01
1998,0.01,935,1423,846,3032,13166,0.01
1999,0.01,650,1782,630,3127,9754,0.01
2000,0.01,583,1513,566,2960,9219,0.01
2001,0.01,557,2022,471,2753,8765,0.01
2002,0.01,624,2663,643,2930,8459,0.01
2003,0.01,460,2452,1303,3161,9361,0.01
2004,0.01,678,1292,1259,3748,9586,0.01
2005,0.01,870,1020,1164,3871,15379,1726
2006,0.01,920,1031,1409,4794,18570,1733
2007,758,980,1331,1098,5192,14655,999
2008,966,702,1965,982,5306,13049,904
2009,510,840,3210,749,5230,12520,1218
2010,539,690,1968,679,4602,11989,1357
2011,342,777,1201,549,4113,10462,1670
2012,343,919,865,567,4051,9393,1468
2013,195,1138,1365,1206,4694,9767,1323
2014,252,903,1642.21,545,3135,8735,716
2015,266,778,988.58,347,3255,8994,726
2016,307.89,756,920.76,310,3696,8258,804
2017,345.18,931,755.31,597,3962,7598,919
2018,313,989,796.7,1100,4031,7300,1204
2019,0.01,1138,1079.33,1014,4429,7049.9,1079.1
2020,0.01,1207.54,530.66,747.3,4323.5,5929.63,529.01
2021,2731.7,1066.03,582.27,522.33,3525.91,5992.9,548.1
2022,2785,1177.44,834.05,494.82,4161.27,6290.3,459.3
