variable,year,mean,sd,lower,upper
b_t,1950,12110096.4830283,10925362.4368325,3568244.51777284,28687473.0134202
b_t,1951,13721594.2117186,12590716.940375,3610363.61291034,33327354.4381413
b_t,1952,15830379.4916628,15490643.6391841,4102268.8868069,38205097.0602564
b_t,1953,16858473.8925718,16158446.0162679,4240533.40307011,42210062.8091864
b_t,1954,17169960.6595815,17540081.2169146,4348334.65840905,41835814.8247355
b_t,1955,17175872.3766247,16030525.4782085,4338349.20224806,44106854.7363195
b_t,1956,18330338.3899929,18653678.6735168,4677666.41970704,46114022.897828
b_t,1957,18650112.7426317,20162141.2962063,4797043.90118263,47387401.8494855
b_t,1958,16647733.2609616,15617893.892716,4385514.95423876,41878192.9546699
b_t,1959,17889288.783692,17504704.7259853,4631485.26028873,44783668.9167464
b_t,1960,17684102.3933795,17630003.6902281,4533117.40874762,44597525.1777746
b_t,1961,17722850.0971854,17688490.5325073,4560107.94810208,44857333.4010121
b_t,1962,17511664.8753797,16836312.900838,4431668.36767313,43446504.7123701
b_t,1963,16810907.5053948,15896125.6144345,4318990.20539566,40662781.0328929
b_t,1964,16899524.2595091,16638485.4150599,4299253.03923425,43107639.3807501
b_t,1965,17857286.9332199,16955057.2077682,4479118.72133234,45075010.2050379
b_t,1966,17459522.0087027,16539157.0681154,4558301.25448761,42552237.1450945
b_t,1967,18686431.65666,18113504.1200693,4807725.59403536,46458161.9585118
b_t,1968,15993237.947117,15144289.636452,3967889.23153368,41777887.0637321
b_t,1969,12533779.6777623,12463497.550922,3178582.48548516,32612125.351684
b_t,1970,10244810.185663,10617764.7001225,2622531.89732676,26023743.5830838
b_t,1971,7718743.00321398,7868772.94151381,1903044.21727873,20557883.0291943
b_t,1972,5038061.51580097,5337684.63612986,1219628.19463106,13108686.6906935
b_t,1973,1645412.34367058,1660217.12367111,413845.580601434,4169471.131931
b_t,1974,1157727.27382159,1144249.37822292,296820.097253857,2884358.56990043
b_t,1975,1790590.15689558,1763207.03192317,463974.427885273,4515224.49017314
b_t,1976,5249739.47592525,5332814.09900237,1379243.70933871,12954041.86917
b_t,1977,8878144.35518029,9083666.04012,2208849.53560524,22162750.5619925
b_t,1978,10007062.7774904,10452808.3461905,2489288.23773835,25113448.1162213
b_t,1979,7740294.64875494,7353267.85191296,1985170.40069748,18918920.9734559
b_t,1980,8167326.62084963,8245191.89290167,2072381.59575707,20620827.9805714
b_t,1981,8769138.65642235,9004690.51575107,2175546.54292876,22860714.3044147
b_t,1982,9350628.18042096,9385423.28351569,2367466.69086503,23615890.3785131
b_t,1983,10396274.5440549,10092379.3817629,2657609.60745982,26051965.7847644
b_t,1984,9906184.43186301,10023792.0885672,2505755.28534529,25073397.2598554
b_t,1985,9974901.83597453,9861715.94951,2505247.20441335,25271369.0454591
b_t,1986,9047813.70771898,8892650.25041057,2344376.9040292,23142093.1186625
b_t,1987,8394580.954845,8056795.5922311,2168512.83855313,20562870.7096808
b_t,1988,8511130.96848699,8648105.30020203,2192488.36740806,21537968.9633572
b_t,1989,8931300.88807143,8444956.03434817,2330380.63352432,22330650.9014205
b_t,1990,9178649.78662431,9339567.195523,2378227.69380527,21843280.0105906
b_t,1991,9300587.49346281,9077858.79561732,2418950.40567254,23446921.0515709
b_t,1992,10114641.1024703,9988964.99598451,2600894.5156199,25626440.2985509
b_t,1993,10884637.9409046,10952225.4768706,2934836.63804981,25945634.0001428
b_t,1994,12348966.4840834,12267615.9520327,3205253.09122323,31919701.6283057
b_t,1995,14115422.322398,15249938.1615812,3561947.97878869,34589382.4925118
b_t,1996,15309334.9757982,15079439.7918367,3979775.37445751,38267320.6189357
b_t,1997,15883169.5091635,15005132.2605001,4282992.89798801,41255710.9680902
b_t,1998,17082526.8250875,16520370.108931,4456517.78839074,42849003.6500219
b_t,1999,18059700.3199144,17912271.6962778,4691523.89353286,44719069.8887216
b_t,2000,18407189.4328296,17714860.9396905,4844056.18979958,47087465.185168
b_t,2001,17908868.0279525,17556924.9713899,4488513.77251771,46039558.33128
b_t,2002,17984776.2561011,17225734.7588776,4737640.65262973,43713213.4228032
b_t,2003,18428232.0463304,18727754.6134838,4853401.72065839,45175180.6317939
b_t,2004,19518389.5753233,18420565.0669757,4965678.05155946,49126042.4047288
b_t,2005,18951247.8644011,19172065.2270035,4968508.34642816,47709244.4885417
b_t,2006,19725487.8174666,19545711.3865668,4985063.6627645,48447014.5680215
b_t,2007,18865829.5871604,18233993.9130365,5000043.40995759,47346348.3156025
b_t,2008,18499737.7906572,19254329.3629613,5032478.49805619,43778968.5852054
b_t,2009,19209379.3927773,18142522.4799075,4957766.18540024,47180396.2492522
b_t,2010,18612553.4580637,18420026.8511112,4890411.68850999,44578201.3605236
b_t,2011,18879368.6819323,17693405.1370849,4965137.53605164,46917497.2264591
b_t,2012,19526680.81898,18495585.4095322,5047548.32102796,49387588.8418283
b_t,2013,18414137.0019219,17483476.483159,5012418.2586336,44832649.1154139
b_t,2014,18647131.5456151,19074835.9265556,4965085.042869,48340268.6185549
b_t,2015,19513222.5403482,20638293.8758072,4995894.64356759,48599955.3748098
b_t,2016,18632953.3174486,22294758.3169048,4765157.07246359,46809482.2649125
b_t,2017,17430857.8441484,16849737.5745458,4609973.94837374,42727565.4111391
b_t,2018,17016004.1520719,18227121.1975675,4250676.30165917,41924527.0145788
b_t,2019,15154589.5621323,15366402.1968066,3809034.42000099,37523090.166774
b_t,2020,12543559.8146506,12254068.205156,3348399.99184445,30145427.7004377
b_t,2021,14462184.2764749,13688113.6997804,3830917.64381959,36622816.6610177
b_t,2022,15256729.7618393,14963823.5351067,3897588.74740132,39154763.4185245
bmsy,1950,9037923.01516923,8123187.12286057,2820264.62236556,21277876.6705871
ck,1950,0.00348396727125062,0.00209273729230807,0.000968142678896829,0.00730427965671464
ck,1951,0.00466783964497656,0.00280386161493703,0.00129712320085206,0.00978631643326815
ck,1952,0.00544581291913932,0.0032711718840932,0.00151331040099407,0.0114173691721462
ck,1953,0.00594473056235239,0.00357085999148683,0.00165195219238949,0.0124633703851223
ck,1954,0.00635908589315647,0.00381975350440697,0.00176709537507382,0.013332083256916
ck,1955,0.00696793454250124,0.00418547458461614,0.00193628535779366,0.0146085593134293
ck,1956,0.00808415706629998,0.0048559632316663,0.00224646699278002,0.0169487654170369
ck,1957,0.00865918079068115,0.00520136647408608,0.00240625753201542,0.0181543261370772
ck,1958,0.00780510143535029,0.00468834106990376,0.00216892158403343,0.016363713891135
ck,1959,0.00825328169111797,0.0049575524206133,0.0022934642102022,0.0173033420994017
ck,1960,0.0075598707293642,0.00454103674593062,0.00210077561877127,0.015849577701706
ck,1961,0.00821945676615437,0.0049372345828239,0.00228406476671776,0.0172324267629287
ck,1962,0.00868454948440384,0.00521660485242813,0.00241330711462875,0.0182075126394319
ck,1963,0.00813489445374537,0.0048864399883504,0.00226056615800667,0.0170551384217463
ck,1964,0.00838858139097236,0.00503882377177089,0.00233106198413994,0.0175870034452935
ck,1965,0.00862535586571755,0.00518104863629668,0.00239685808853098,0.0180834108006042
ck,1966,0.00825328169111797,0.0049575524206133,0.0022934642102022,0.0173033420994017
ck,1967,0.00884521787798094,0.00531311458192778,0.00245795447117981,0.0185443604876784
ck,1968,0.00846468747214046,0.00508453890679704,0.00235221073197992,0.0177465629523576
ck,1969,0.00823636922863617,0.0049473935017186,0.00228876448845998,0.0172678844311652
ck,1970,0.00838858139097236,0.00503882377177089,0.00233106198413994,0.0175870034452935
ck,1971,0.00675652876147875,0.0040584880984324,0.00187753883601594,0.0141653384604733
ck,1972,0.00804187591009548,0.00483056593442955,0.00223471768842448,0.0168601212464457
ck,1973,0.000786429505403659,0.000472389728603521,0.000218537061013119,0.00164878157299626
ck,1974,0.000582465207873162,0.000349873166733447,0.000161858416801975,0.00122116209406433
ck,1975,0.00114362071301926,0.000686946095659572,0.000317795184208755,0.0023976475261507
ck,1976,0.0106387845241757,0.00639046793071064,0.00295635996194199,0.022304646204157
ck,1977,0.0156547672093401,0.00940345089109506,0.0043502269348576,0.0328208587380731
ck,1978,0.0170316107799834,0.0102304884783125,0.00473283128189154,0.0357074675092048
ck,1979,0.00909628338352324,0.00546392373291959,0.00252772184044303,0.0190707295726489
ck,1980,0.0119029910946902,0.00714984711808942,0.00330766416217276,0.0249551069048338
ck,1981,0.0137921131539072,0.00828459835862734,0.00383262308077846,0.0289157284468485
ck,1982,0.0146953232127477,0.00882713542219876,0.0040836117204216,0.0308093452190176
ck,1983,0.0156342185674247,0.009391107804638,0.00434451677294081,0.0327777776711657
ck,1984,0.0167632945627096,0.0100693172300481,0.00465827019645126,0.0351449316026331
ck,1985,0.0188242472407417,0.0113072830865562,0.00523097828795789,0.0394658030539304
ck,1986,0.0160867960634377,0.00966296047426016,0.00447028132676255,0.0337266248731739
ck,1987,0.0151385988543956,0.00909340068642884,0.00420679142728512,0.0317386907034957
ck,1988,0.0171116912898347,0.0102785909592789,0.00475508446434094,0.0358753595683045
ck,1989,0.0201910278962083,0.0121282761170313,0.00561078630055521,0.0423313145124614
ck,1990,0.0199510400535916,0.0119841210579155,0.00554409724903314,0.0418281702001858
ck,1991,0.0198906625625315,0.0119478537174615,0.00552731924241343,0.0417015863245815
ck,1992,0.0218233342126391,0.0131087641741532,0.00606437994450534,0.0457535113623052
ck,1993,0.0242508645149642,0.0145669245977039,0.00673895450477455,0.0508429277726281
ck,1994,0.0291591148141195,0.0175151952447291,0.00810288425019223,0.0611332749598778
ck,1995,0.0343741571826947,0.0206477486805041,0.00955206694801375,0.0720668242489373
ck,1996,0.0389723174822462,0.023409755549595,0.0108298272952879,0.0817070550890711
ck,1997,0.0388389627155772,0.0233296524741103,0.0107927699893505,0.0814274713750265
ck,1998,0.044176535874833,0.0265358072772774,0.0122760021711944,0.0926179114704592
ck,1999,0.0441224159948913,0.0265032987368144,0.0122609630616193,0.0925044469321025
ck,2000,0.046539967944352,0.0279554653982172,0.0129327647860606,0.0975729433181659
ck,2001,0.0418082837535067,0.0251132538644527,0.0116179001356316,0.0876527741873051
ck,2002,0.0422221317104363,0.0253618426098059,0.0117329023266637,0.0885204233290517
ck,2003,0.045915137017962,0.0275801441396525,0.0127591335662943,0.0962629597651692
ck,2004,0.0490189121326217,0.0294445089352077,0.0136216265004261,0.102770151039928
ck,2005,0.0477996927123088,0.0287121524720889,0.0132828235600296,0.10021400773676
ck,2006,0.0529997675515876,0.0318357152646421,0.0147278470041093,0.11111617698943
ck,2007,0.0524835146343307,0.0315256142653814,0.0145843879979281,0.110033831666512
ck,2008,0.0471962560509582,0.028349682245926,0.0131151374882673,0.0989488781340825
ck,2009,0.0509420282414271,0.030599679602724,0.0141560318597337,0.106802042495098
ck,2010,0.0485060417078612,0.029136439719726,0.0134791074385934,0.101694897250657
ck,2011,0.046534386831733,0.0279521129549819,0.0129312138778856,0.0975612422876479
ck,2012,0.0497869916162326,0.0299058762368105,0.0138350643633489,0.104380461042888
ck,2013,0.0495055682405355,0.0297368318264027,0.0137568609935584,0.103790445443432
ck,2014,0.0470458196971826,0.0282593186623576,0.0130733334633703,0.098633482175119
ck,2015,0.0460012214519943,0.0276318530368265,0.0127830551499622,0.0964434392964929
ck,2016,0.0410665877113674,0.0246677344763256,0.0114117938386267,0.0860977781467943
ck,2017,0.0383415671939875,0.0230308786694172,0.0106545511729119,0.0803846613521916
ck,2018,0.0370943576482672,0.0222817091955276,0.010307970193032,0.0777698356080925
ck,2019,0.0339992078894732,0.0204225254486086,0.00944787411698878,0.0712807277441345
ck,2020,0.0212330013272194,0.01275416507835,0.00590033521714889,0.0445158543609772
ck,2021,0.0321079675443304,0.0192865018034792,0.00892232655823486,0.0673156651291732
ck,2022,0.0327488999806262,0.0196714948607775,0.00910043214808577,0.0686594061552145
crashed,1950,0,0,0,0
delta,1950,100,0,100,100
dep_t,1950,0.666669982152297,0.0868240413353087,0.535962591914797,0.807304447586506
dep_t,1951,0.752597178446033,0.174163678206981,0.505611127590006,1.05981513131529
dep_t,1952,0.854709817460039,0.201921300620597,0.57921294774623,1.20286198338356
dep_t,1953,0.913622227073606,0.224680865303778,0.598737792121464,1.28963696775604
dep_t,1954,0.92627235037051,0.220126497413971,0.611536346148206,1.31487795009663
dep_t,1955,0.937347079973493,0.223641276654256,0.630458569756944,1.33504007347446
dep_t,1956,0.992255224374506,0.238379990981157,0.660336813690133,1.42071301300593
dep_t,1957,0.999063535343284,0.247587393264402,0.653217112850496,1.43811313733436
dep_t,1958,0.906493326081642,0.213536043608319,0.603193990058063,1.27452267158758
dep_t,1959,0.973962759279447,0.232462193394222,0.635480987646491,1.36896549197271
dep_t,1960,0.961605523599983,0.223646782223472,0.651162503962317,1.34272004840681
dep_t,1961,0.962796256185812,0.231799220976375,0.635903673991191,1.36916739333653
dep_t,1962,0.953479616710844,0.235317666450585,0.619745958388573,1.36978479963214
dep_t,1963,0.91513110191668,0.216114546639913,0.610176788508289,1.29412933771374
dep_t,1964,0.912774792264558,0.219066388052782,0.616027449611511,1.28568392424972
dep_t,1965,0.966964894152945,0.237812732572219,0.641175430107669,1.38083688073426
dep_t,1966,0.951522912540552,0.219525350116427,0.637543394010724,1.32508089049324
dep_t,1967,1.01671167574481,0.247299890993828,0.670439621002315,1.45287985331984
dep_t,1968,0.867727621082787,0.217404320106402,0.56649247695242,1.24553572366403
dep_t,1969,0.675503662138609,0.169952350130877,0.438752979747532,0.971616297340692
dep_t,1970,0.54917678912941,0.141112409139281,0.360667387421111,0.78564912119834
dep_t,1971,0.415047537163848,0.108822259935841,0.269383614613985,0.601497421360003
dep_t,1972,0.267814060312997,0.0682396548246744,0.173643846981051,0.387483110528362
dep_t,1973,0.0881632212128071,0.0219447282459067,0.0573339350882712,0.127668794503509
dep_t,1974,0.0625890946649647,0.0144334025107901,0.0424563949176234,0.0882730616706638
dep_t,1975,0.0970358645326259,0.0235158507686273,0.064654608783063,0.137134845266509
dep_t,1976,0.283995725198365,0.0712705710110275,0.186391656961097,0.409668846449351
dep_t,1977,0.478631952779379,0.123088156363011,0.310099490990903,0.695964281981753
dep_t,1978,0.539556423899649,0.138511492016605,0.350127888316525,0.778637710808056
dep_t,1979,0.420439240615341,0.102327600917345,0.278283518529068,0.597595320721382
dep_t,1980,0.44088970871254,0.108406364978939,0.28521311254354,0.631597479860634
dep_t,1981,0.472770691681838,0.11687820801608,0.307494391238412,0.675710502362318
dep_t,1982,0.502584546552481,0.119472176158946,0.335124867690844,0.704594920735217
dep_t,1983,0.564917710359589,0.14069288534125,0.369912831888122,0.810558033152895
dep_t,1984,0.53653356312692,0.130046535787084,0.360737039941914,0.7557322094161
