variable,year,mean,sd,lower,upper
b_t,1950,13825305.672714,2633110.45032072,10427374.1289393,18017906.9983824
b_t,1951,16873402.3301613,3598716.0976532,12052934.5654935,23410160.1907026
b_t,1952,21028382.7130681,4789805.52072939,14427842.1197344,29047339.3056525
b_t,1953,22705782.5644032,5098638.48401633,15049015.9213092,31176078.5798147
b_t,1954,24131130.184519,5205994.47654169,16497751.7082058,32763044.666758
b_t,1955,25352141.7814291,4861528.76212265,18602042.2003203,33832775.7665501
b_t,1956,26497298.2278373,4548021.90218939,19679376.9778557,33303071.1986117
b_t,1957,25243649.751517,5299100.42628653,18173909.5533451,34554985.0264697
b_t,1958,24796005.9676163,5470706.03820744,17368231.193741,34488691.2048325
b_t,1959,26620616.9489498,5069872.30124441,18836721.5782922,34821751.7947066
b_t,1960,27563499.7873146,5956830.4370562,18960075.9260634,37486129.9647778
b_t,1961,28147273.6153375,4810536.93940896,20714288.1479202,36289995.8264292
b_t,1962,27485311.4693313,4905688.2042224,19073897.5739823,35869130.4575452
b_t,1963,28205537.7133192,6464353.26318392,19532657.0410109,38289180.1170132
b_t,1964,27951010.4255026,6164199.91515451,18242789.3798805,37855079.2000893
b_t,1965,31302449.575672,6287521.04474304,22108446.8166947,40864005.7103956
b_t,1966,31224952.6478466,7316115.25074151,20660421.8129095,43083005.7533928
b_t,1967,34682788.1434355,6803250.25792224,24629424.5006273,45058308.8198834
b_t,1968,30730613.3364441,6303605.52649451,21475217.7237932,40580548.6021622
b_t,1969,25219357.9205769,5342050.16359277,17637900.8601524,34156974.9970025
b_t,1970,21205086.0707693,4715192.92947544,14075110.0561242,29338189.2893528
b_t,1971,22339036.2384468,4164491.14527451,16144572.9275729,29696014.7633773
b_t,1972,21978677.5483063,4312981.50427735,15356720.3953964,28605481.5660303
b_t,1973,20757355.7014907,4212364.45681448,14405871.0301865,27188007.5361746
b_t,1974,21018435.749086,4741770.97191107,14218762.3273783,28685367.6170259
b_t,1975,21714168.7648699,4079981.70125094,15491068.54202,28298594.5527466
b_t,1976,19961984.1222092,3758284.26007498,14544848.7449902,26017117.2900003
b_t,1977,18909917.9579802,3970378.56325261,13160202.9638718,25828564.1174811
b_t,1978,18011621.4564389,3637179.5154294,12746959.9698724,24071759.2876776
b_t,1979,16558615.9736357,2776034.95379118,12574897.1093709,21311857.6156373
b_t,1980,16175230.7509139,3039553.85229026,11589969.495268,21317482.9114509
b_t,1981,15435920.9446537,2905260.51957824,11571012.4819558,20654782.9137013
b_t,1982,15756676.9319388,3128205.14935526,11461988.2383246,20926486.0318472
b_t,1983,15846760.8255995,2915851.23443037,12009347.9920577,20981809.5601672
b_t,1984,13649034.4726644,2518206.52341408,9865470.05974991,17752567.0265395
b_t,1985,13544226.1933854,2506811.09909674,9905255.6082674,17409243.3809878
b_t,1986,14145151.1838225,2424587.60940302,10900639.877878,18628606.7626711
b_t,1987,14195708.3932768,2499965.41168591,10734720.8705417,18338262.9821207
b_t,1988,13970221.5664426,2673274.02391432,10269790.0960025,18905326.6866457
b_t,1989,13360507.4178431,2468776.74822812,9825332.78208259,17494606.2522077
b_t,1990,13084250.8227278,2264823.86021776,9806845.70083236,16984169.4037718
b_t,1991,13049620.739123,2450202.86379119,9559686.52164507,17414466.3917089
b_t,1992,13872631.1677316,2366996.2915006,10290540.5253917,17604940.0176497
b_t,1993,14304853.0485011,2430467.31582817,10928566.8390628,18461601.3853038
b_t,1994,13917330.8392134,2543016.65498565,10572311.8425691,18513787.6206963
b_t,1995,14462535.0452689,2406975.2877348,11267749.755263,18352264.1712633
b_t,1996,15976074.2560427,2719348.25868912,11729810.8872403,20123654.8032763
b_t,1997,15614922.1348398,2768269.47362163,11499659.8706413,20632388.1844309
b_t,1998,14814495.4462061,2329518.96001632,11587111.4042027,18913433.3232824
b_t,1999,14796850.687359,2386915.07102353,11061773.9275999,18705617.0605281
b_t,2000,13678165.9498549,2670618.87893066,9861949.6429319,17938371.8402865
b_t,2001,12315518.0229635,2337379.42106466,9296395.66868549,16055430.9583099
b_t,2002,11106318.0410521,1979655.41712429,8207023.62008895,14461564.4222985
b_t,2003,8852217.17072263,1694307.10157296,6482119.14027687,11712422.101267
b_t,2004,8596298.4411424,1687705.79559284,6272903.94700358,11351349.5448846
b_t,2005,8132432.62249784,1426894.94949858,6043687.16705259,10317825.3694543
b_t,2006,7313175.25774341,1252351.23214073,5634741.5090296,9492432.90885119
b_t,2007,7656478.78574097,1318192.84674756,5702818.60542143,9754647.2570071
b_t,2008,8344899.3144279,1274464.82369645,6510794.8513416,10455297.7773928
b_t,2009,9335135.72665384,1721107.26786121,6891578.67097762,12100231.5761723
b_t,2010,8926810.951761,1852793.69447623,6251500.2394402,11803604.0450585
b_t,2011,8898063.52033364,1621966.73460602,6537954.16916238,11506490.1408065
b_t,2012,9166494.23800018,1714313.04531704,6558577.31491768,11802744.7228803
b_t,2013,9081840.5950053,1709040.34474433,6526436.0187801,11891676.9011858
b_t,2014,9991014.09543196,1757285.50223068,7411945.67321926,12735183.0886655
b_t,2015,11224352.4013196,2250054.46869166,8032935.80289418,15254136.073146
b_t,2016,12866346.0729941,2344765.71447406,9617731.8219253,17008032.187076
b_t,2017,12528594.9115679,2271842.45794197,9503347.05285794,16434951.5519219
b_t,2018,13266119.7394284,2554359.09907764,9408613.71204078,17355133.7346282
b_t,2019,12771829.9640662,2317407.89119505,9251745.20635923,16605807.0316901
b_t,2020,11764924.2057243,2220328.31870162,8746145.86699081,15601643.8986897
b_t,2021,10985171.3268245,1831790.93161583,8319015.46880108,14174721.7466635
b_t,2022,10896679.458454,1978699.29671361,7792807.5783906,14117418.7032731
bmsy,1950,15210029.1259712,2628143.4436842,11634620.0132772,19524899.3591951
ck,1950,0.0180569806993242,0.00312422970829716,0.0136517992108384,0.0229100735315048
ck,1951,0.0258369617475848,0.00447032672892889,0.0195337758770126,0.0327810448116612
ck,1952,0.0359960880299864,0.00622806489514455,0.0272144814431479,0.0456705934034905
ck,1953,0.0358070841802355,0.00619536333488888,0.0270715869775758,0.0454307918459858
ck,1954,0.0434082228760436,0.00751051694366578,0.032818351676327,0.0550748541254924
ck,1955,0.0477956186929325,0.00826962681820289,0.0361353982938094,0.0606414304236275
ck,1956,0.0527544293745702,0.00912760323781404,0.0398844573905394,0.0669329981689142
ck,1957,0.0519574292697961,0.00898970579824129,0.0392818934523833,0.0659217919595795
ck,1958,0.0533122955762544,0.00922412558502029,0.0403062265389215,0.0676407995402589
ck,1959,0.0546417581394667,0.00945415000079719,0.0413113533800871,0.0693275757288006
ck,1960,0.0572566501109314,0.00990658018928067,0.0432883162371059,0.0726452603595118
ck,1961,0.0596876867246097,0.0103271996126982,0.0451262770942815,0.0757296756615249
ck,1962,0.0612060853942576,0.0105899138677415,0.0462742471843649,0.0776561674571923
ck,1963,0.0662433089633816,0.0114614573325124,0.0500825895584783,0.0840472227662108
ck,1964,0.0655687549010536,0.0113447455811698,0.049572599723018,0.08319137186698
ck,1965,0.0711977163295233,0.0123186718878166,0.053828319572677,0.0903332037368602
ck,1966,0.0724532370640606,0.01253590284373,0.0547775434356448,0.0919261650866863
ck,1967,0.0781694180110086,0.0135249199241506,0.0590992047277496,0.0991786580695727
ck,1968,0.0808580485812022,0.0139901084095295,0.0611319169130033,0.102589899687862
ck,1969,0.080139495235572,0.0138657838756113,0.0605886618605577,0.101678224017449
ck,1970,0.0684598024974322,0.0118449563826936,0.0517583472714005,0.0868594332178233
ck,1971,0.0843874414378687,0.0146007660935942,0.0638002789951082,0.107067871460343
ck,1972,0.0893506554350024,0.0154595043775124,0.0675526671743694,0.113365025980267
ck,1973,0.0876507724236043,0.0151653895920301,0.0662674876673442,0.111208273119167
