variable,year,mean,sd,lower,upper
b_t,1950,2484723.67184018,2331010.35171547,624167.276441581,6075819.63172974
b_t,1951,1424884.67375683,1374034.72719068,340698.090744998,3593164.28758284
b_t,1952,2745013.04878756,2738729.82332348,637136.420305815,7052998.98390422
b_t,1953,4212533.13827916,4032665.79756178,963873.869405046,10862820.3697714
b_t,1954,6800488.77446623,6826626.8271073,1601680.49470343,17661338.6502335
b_t,1955,7795078.95149395,7899285.55583863,1890011.94293533,20265063.4344531
b_t,1956,6526738.75491275,6366148.37943352,1510085.46626313,17083987.2383937
b_t,1957,5760578.38677508,5750296.15254603,1324411.43017582,14912398.7922876
b_t,1958,4925655.19387943,4779331.2904125,1163723.68219387,12741772.3068068
b_t,1959,5162399.66715967,5136265.53182085,1232951.09907418,13651414.9289961
b_t,1960,5935847.86539011,5763672.44997709,1395647.80953136,14995745.4091738
b_t,1961,5581438.08839846,5517534.46576694,1270578.11129333,15114734.2140373
b_t,1962,5218948.25074815,5043439.73515999,1204459.37826155,13444881.7010653
b_t,1963,5628768.57078814,5681309.38116256,1321712.2127723,14340169.6248987
b_t,1964,5833444.58841657,5719255.94799679,1426992.29308415,15366152.7045094
b_t,1965,6363800.1869889,6064165.77892274,1499208.06974926,16377438.9373021
b_t,1966,6325553.35117886,6173981.71389381,1525121.62811188,16044754.6119358
b_t,1967,7287790.43105131,7088534.68990664,1709478.06287103,18495922.8448993
b_t,1968,6855355.84285002,7386212.76359986,1564883.31681774,17463067.2530035
b_t,1969,5293307.53131689,5520548.51612425,1209570.77202355,14053821.5137761
b_t,1970,5119338.75247914,5151701.88796556,1208179.79755259,12986627.6866224
b_t,1971,5407374.40101973,5439168.35929008,1215919.56470389,13741766.0077815
b_t,1972,5976817.60892974,6083720.58444729,1431757.5513175,15988001.5760439
b_t,1973,6600585.35022155,6404026.5514257,1633412.46615812,16521244.6053839
b_t,1974,6570372.74171659,6452809.35131244,1560446.75040422,16994403.2047702
b_t,1975,6049792.30225251,5814614.7359508,1425869.40312043,16305550.2189421
b_t,1976,5512257.46144499,5142351.720011,1332560.08013019,13949686.0157913
b_t,1977,6021844.78500979,5852747.22556305,1420160.10945673,15292449.0170541
b_t,1978,6397729.54992706,6409675.17391883,1485176.41499003,16078665.572115
b_t,1979,5830696.26511288,5829334.58012906,1400497.31111063,15155194.7924858
b_t,1980,5773399.91749015,5719042.08989061,1384129.92865999,15195711.3421009
b_t,1981,5999815.21061387,6544493.42051741,1367459.80936596,16207856.2620343
b_t,1982,6462948.32037112,6465807.70297453,1515931.78592208,16530468.3861498
b_t,1983,7190925.90119399,7186712.02049677,1725176.08249601,18876141.6705254
b_t,1984,6630236.02677846,6578188.40258481,1657827.86883119,16766917.7698938
b_t,1985,6505398.38315343,6781854.69560618,1531711.37544374,16728955.3753252
b_t,1986,6124813.21584619,6197557.92432486,1456969.55457474,16071617.2911463
b_t,1987,5466782.77697591,5557257.91821861,1254224.15248579,14599394.1908844
b_t,1988,5051472.0825542,5107429.74707806,1158392.2909781,13056098.6083454
b_t,1989,4762619.2606726,4681355.13781966,1106411.49349511,12355040.0435297
b_t,1990,4923026.37098438,4645005.42319132,1133197.82422514,12784859.797114
b_t,1991,4976044.36313312,4833190.18977043,1147514.5887878,13175781.399405
b_t,1992,4861833.13530703,4963167.01242567,1151329.60469913,12838213.6729683
b_t,1993,4856595.93231966,4850071.98282287,1156863.19794707,12650259.2240224
b_t,1994,5017821.72478787,4956660.75920508,1201508.08737537,13271676.8541335
b_t,1995,4324331.32319131,4226895.96811351,995137.488763082,11377381.1294301
b_t,1996,4030939.27633607,4024076.55674874,927814.530246327,10192934.811264
b_t,1997,3600644.91370641,3620837.34125161,811664.71051258,9431391.08213428
b_t,1998,2969324.7533527,3010816.96736955,686853.183271002,7784687.73340852
b_t,1999,2428147.2658143,2423951.05711074,557171.320668043,6203854.36396901
b_t,2000,1774375.67590168,1820584.34893003,402427.443613856,4566674.78605412
b_t,2001,1765338.10395867,1757036.75958032,410266.789942124,4527304.83831348
b_t,2002,2191193.92923801,2226880.56483231,520344.42235997,5585144.29618276
b_t,2003,4626767.86438985,4639064.88638626,1079348.38537347,11602452.560451
b_t,2004,5963341.00259251,6075215.02889155,1408291.15676863,15460776.5720016
b_t,2005,6010719.84606823,6102759.80062211,1408765.51704682,15475516.9421317
b_t,2006,5838379.71471797,5791298.42264026,1369769.96434774,15349182.156748
b_t,2007,4914021.33584902,5103504.46765109,1160231.00685104,12734190.4769144
b_t,2008,4901896.54882276,4800566.51237289,1173930.94178281,12487645.77653
b_t,2009,5839181.31205246,5552612.89980869,1390373.69483731,14846472.1716287
b_t,2010,6085627.67359498,5993344.31602184,1440035.27649282,15660712.7463863
b_t,2011,6528417.43767907,6488739.37596485,1554879.12811372,16745883.9019374
b_t,2012,6486475.91669638,6368839.08983404,1484740.03256716,16708764.6493814
b_t,2013,6444122.58992226,6647229.64206202,1560225.64414122,16337531.1520163
b_t,2014,6807403.76378792,6564036.23412116,1600634.69140744,17740156.4704142
b_t,2015,7540361.51975571,7512876.14911944,1724734.82253106,19090419.4031516
b_t,2016,6784904.34400138,6790151.76923204,1560300.51898638,17585970.019708
b_t,2017,6453256.65291507,6381038.44976475,1484068.95795734,16435258.506468
b_t,2018,5690959.34585488,5521031.64453774,1335259.89783305,14617245.1517459
b_t,2019,5649981.32552813,5865723.50717858,1262117.80733847,14528773.2600075
b_t,2020,5652945.65399782,5895934.19612684,1309770.26097029,14027122.9875823
b_t,2021,5902027.79984244,5768830.78903025,1346520.45309773,15021279.7190866
b_t,2022,5804199.13539153,5708071.2941299,1319251.14833172,15023917.4736582
bmsy,1950,2953314.11061223,2731601.11405888,804787.092789782,7230350.43651949
ck,1950,0.000356897105369777,0.000234672221847258,8.9898974233111e-05,0.000807667067995459
ck,1951,0.000356897105369777,0.000234672221847258,8.9898974233111e-05,0.000807667067995459
ck,1952,0.00236101162013853,0.00155244700606648,0.000594716291080581,0.00534302829596996
ck,1953,0.00310225945436806,0.00203984315913386,0.000781429545257042,0.00702049066796053
ck,1954,0.00743993196578536,0.00489201324004669,0.00187404784747485,0.0168367519559053
ck,1955,0.00949895372753407,0.00624589144301165,0.0023926957757428,0.0214963696558791
ck,1956,0.00659216407241469,0.00433457645461259,0.00166050320714266,0.0149182320282361
ck,1957,0.00568839078712445,0.00374031418205784,0.00143285134316158,0.0128729704991276
ck,1958,0.00474480974777374,0.00311987693091244,0.00119517228590066,0.0107376230278196
ck,1959,0.00473712273319654,0.00311482245228803,0.00119323600030179,0.0107202271217397
ck,1960,0.00601453983418545,0.00395476848940749,0.00151500517499923,0.0136110539428035
ck,1961,0.0054525641613455,0.00358524999854492,0.00137344886711063,0.0123392889518906
ck,1962,0.00510884479525091,0.00335924259719664,0.00128686923961843,0.011561443437175
ck,1963,0.00611254927004468,0.00401921309186862,0.00153969281638478,0.0138328517453222
ck,1964,0.0065762409707905,0.00432410646317633,0.00165649232983072,0.0148821976513563
ck,1965,0.0072065761661205,0.00473857371037733,0.00181526774893782,0.0163086619499083
ck,1966,0.00691199878607299,0.00454487886880648,0.00174106651866695,0.0156420259776321
ck,1967,0.00825036293120965,0.0054248997007337,0.00207818767204112,0.018670777482615
ck,1968,0.00902180975127817,0.00593215273411123,0.00227250776249884,0.0204165809142052
ck,1969,0.00730540921068444,0.00480355986411965,0.00184016284949468,0.016532323599507
