variable,year,mean,sd,lower,upper
b_t,1950,12502560.5207148,3411266.87863052,8468372.31973314,18705091.7079435
b_t,1951,13895618.3686426,3942510.43691803,9467396.61052821,20972441.3211327
b_t,1952,13388083.4621059,3820650.16232293,8897673.80838956,20075507.0814755
b_t,1953,12387111.0244347,3546547.96075621,8331886.21701692,18838338.9933568
b_t,1954,13365993.8395867,3800026.88745363,9014573.11991404,20182505.3932287
b_t,1955,14341686.1242974,4084641.37061805,9619348.7762796,21468779.5367045
b_t,1956,14103676.9745255,4087485.45529479,9438008.1197686,21038699.8540578
b_t,1957,14802988.2746947,4333290.05663718,9841287.25067855,22291804.638183
b_t,1958,13952154.3470421,3966820.6843069,9423076.79159245,20787146.7884929
b_t,1959,13684473.0689179,3908539.65577504,9397503.06309925,20525096.3581253
b_t,1960,13634383.7954744,3962463.70737462,9135152.56747965,20476677.169953
b_t,1961,13212568.3351303,3855782.09329321,8739696.77376122,19768238.0898067
b_t,1962,12351314.6880294,3670923.46243978,8117870.49921767,18410593.2083657
b_t,1963,11490130.2592186,3373834.43461162,7656116.0768374,17272979.290816
b_t,1964,11409999.179602,3335136.15677941,7466284.62032093,16917501.4819292
b_t,1965,13647000.3933198,4048698.2657359,8923519.55644524,20397617.130971
b_t,1966,14399633.7154853,4227787.65373954,9547887.25111287,21650274.0904677
b_t,1967,14437567.1357831,4191138.75852737,9675707.62170819,21505633.8456605
b_t,1968,12394735.2743694,3533195.25651656,8148845.67909801,18644636.3116809
b_t,1969,10589614.6480968,3074308.64278468,7133542.91910909,15867786.9047946
b_t,1970,8768801.43924249,2498718.60847101,5897151.55292707,13198589.1680829
b_t,1971,8195086.58873661,2380103.53073063,5443899.56466376,12429262.8524471
b_t,1972,7761620.14037756,2201225.6676202,5221896.55513779,11551862.2759042
b_t,1973,6853274.25024212,1966108.92327279,4611958.71672547,10362009.6812187
b_t,1974,6212960.97725009,1824426.84387575,4133987.49144351,9478552.61626647
b_t,1975,5354551.68470657,1529951.94204475,3589639.01744963,7914407.53670879
