variable,year,mean,sd,lower,upper
b_t,1950,2300126.34624018,1970309.178952,621784.908043971,5589034.88245943
b_t,1951,295468.179052454,311147.941272456,60296.4396424899,779233.578647191
b_t,1952,182044.353540128,180451.862692772,39274.4260736883,452364.807731436
b_t,1953,149921.154499441,143508.362973931,31756.098466192,377582.62738567
b_t,1954,148537.580759821,147260.696825748,31751.1143403063,375397.7347209
b_t,1955,178126.743098833,193989.458055623,36487.0884003568,450155.762747277
b_t,1956,223518.373218719,223625.152214357,45882.8289408146,609051.005434304
b_t,1957,248237.743266001,256344.590978403,52569.9376432735,680989.646880271
b_t,1958,304382.38089309,308760.625235189,60268.8991831889,826102.324323314
b_t,1959,372692.848976116,384215.892555901,74520.6778157866,1012565.3720872
b_t,1960,455765.164595949,453693.996874936,97533.2354020739,1214877.52268575
b_t,1961,497847.027230112,490822.260715766,105013.102788051,1325699.39760751
b_t,1962,479895.121727663,477089.660802115,102797.423705428,1271165.46880409
b_t,1963,487910.121768482,463454.771309937,100117.653611279,1306468.12564827
b_t,1964,494474.175075813,528935.042560367,97239.8960892919,1273086.15867936
b_t,1965,544635.48740751,574629.902163789,107313.343549958,1464994.20801151
b_t,1966,671456.210527712,678803.413311244,133271.15439362,1875166.28728165
b_t,1967,700875.410530075,699959.764093171,135674.361250955,1864163.78654639
b_t,1968,553801.205115636,541467.895308977,114131.92943929,1473470.52232126
b_t,1969,460925.179292132,466715.51708719,93859.7933409472,1279370.85984074
b_t,1970,441974.40535439,409478.513670448,93017.8567051495,1192542.52777105
b_t,1971,438741.828313596,421385.853985869,95464.9755008846,1170853.60190243
b_t,1972,375975.792072143,355716.408110875,84269.0811531824,1003224.18918759
b_t,1973,353521.240600185,351111.349975776,72884.9790959252,935772.098675253
b_t,1974,444264.280702294,457647.203129249,88186.1307486303,1152310.80348437
b_t,1975,610723.648585375,607094.503707325,132614.283073247,1637228.13821876
b_t,1976,623665.529527523,657860.412203241,134919.478359775,1630102.58516494
b_t,1977,571941.789498112,567339.882596607,110039.471343376,1532235.97325826
b_t,1978,528092.144795583,542682.50438784,105449.638163465,1378229.73912325
b_t,1979,456851.924781941,476890.092678717,94853.8514644866,1156810.76808369
b_t,1980,470416.877623182,468524.99294051,99958.8550148919,1307874.65016699
b_t,1981,428405.659115434,427895.316339803,89819.8132942269,1184958.16054797
b_t,1982,446077.815776807,489403.776732209,91794.1852118076,1145958.43785968
b_t,1983,424639.310429966,439778.303000791,88079.2476569243,1116703.27454274
b_t,1984,387861.48837116,401365.050615589,81980.6637731572,1038159.09523128
b_t,1985,364075.030247098,421487.906470346,76923.4573117431,947494.845559227
b_t,1986,344608.018801486,347578.016575717,72105.6887260768,906892.875825809
b_t,1987,364928.22081147,356733.398029783,76699.4238513162,946528.927563737
b_t,1988,424389.050466176,443129.625572472,88524.2301202718,1160839.17313146
b_t,1989,576860.23036906,650754.779164722,122380.956062208,1583041.08315261
b_t,1990,1214827.4268789,1282266.68426102,245937.712964784,3315424.72873595
b_t,1991,1647016.26795522,1721930.64445046,344790.717232801,4412602.10452662
b_t,1992,2141089.13651863,2483614.1772473,433004.027664422,5941195.83731863
b_t,1993,2298428.71972694,2588122.17850332,438129.724877337,6266542.53400769
b_t,1994,2403224.7614002,2786585.67559714,477914.146706274,6705682.7514103
b_t,1995,2363401.88764626,2470548.4042875,479649.268333443,6282799.33927655
b_t,1996,2443288.81739836,2499642.90109401,510165.445627554,6679511.96194774
b_t,1997,2645000.07999888,2551773.6750675,541948.698003308,7332979.73300064
b_t,1998,3016214.68738024,3041769.75530054,608247.844608255,8181007.65785085
b_t,1999,3347071.62453889,3684447.24811417,652729.996730739,8860757.49835408
b_t,2000,3482222.80831066,3526607.5253913,709997.065042319,9495946.29678196
b_t,2001,3741117.12672867,4056742.57119423,744835.111129538,10218160.8583774
b_t,2002,3905233.6452623,4139473.1210672,768208.615237198,10458832.396429
b_t,2003,4543177.90709819,4401778.57942267,946622.669516064,11824406.5264913
