variable,year,mean,sd,lower,upper
b_t,1950,15098643.0160381,14133106.5839694,4154218.72478727,40551705.0762447
b_t,1951,16239797.8536509,15919399.2584311,4296221.62581756,43721379.8363777
b_t,1952,18468927.8736344,18851134.2787772,4785941.04929802,48735555.0672829
b_t,1953,17526813.2514521,17907454.6528333,4420493.08962683,47930558.4626212
b_t,1954,16329498.7954285,16269324.7663661,4150252.81098865,44955510.0664332
b_t,1955,16181046.5711374,16227356.4645874,4178976.12940482,43662052.6954477
b_t,1956,16238841.0160465,15795875.8723902,4124114.45973854,45416170.0219534
b_t,1957,15535898.6476515,15550128.8142029,3930464.03689951,42391317.1796081
b_t,1958,14436680.3221086,14466710.5484569,3607106.23558547,40375869.4249133
b_t,1959,16812215.7055746,16570342.4556328,4295306.44526342,45377395.4987789
b_t,1960,17651462.3815874,17327917.1961682,4459398.37576123,48907418.0009832
b_t,1961,16449184.5753424,16255670.8551654,4088883.29424386,44635162.5253224
b_t,1962,17701206.2951363,17468144.3206106,4465888.7568286,48213886.9427779
b_t,1963,17559368.9297861,17339442.8903409,4473651.05560683,49347218.7920268
b_t,1964,14141315.8010358,13836480.5165503,3555511.44386493,38471511.5576842
b_t,1965,14453226.716863,14078778.8030527,3679379.62821308,39810346.6394565
b_t,1966,15732505.8452061,15419710.9198342,3975046.24387049,43932843.2857375
b_t,1967,17369733.6408855,17137341.6927183,4254901.81332138,48160122.4513305
b_t,1968,14722226.1369479,14566408.3243513,3685426.3808588,41497102.2304493
b_t,1969,12785065.1656741,12411589.1443903,3254732.51754919,34693500.5496874
b_t,1970,11271519.569227,11083657.696435,2860890.55051143,31302631.4572034
b_t,1971,12073177.7142025,11972070.9719244,3114273.95166413,33240236.2858671
b_t,1972,12085744.1496039,11834409.4091856,3061944.67092461,33726031.7271015
b_t,1973,11908415.11026,12051140.2083151,2969792.44712637,33193950.9084031
b_t,1974,11792622.8175336,11577313.5905323,3101313.70412996,32266314.6520972
b_t,1975,13676983.3502011,13668427.6656767,3569135.99869566,37957919.8286711
b_t,1976,16377841.1885845,16086048.688958,4172743.39953568,46503533.3490251
b_t,1977,19684930.4761097,18927328.4846002,5145112.11585296,54744650.9026968
b_t,1978,20436341.7670104,19611841.6366568,5285454.10800301,56681368.9310617
b_t,1979,20050022.2593913,19535400.9871299,5246289.15706384,55627639.2877751
b_t,1980,20511693.3883254,19601069.8119936,5396232.18203305,57073829.1336865
b_t,1981,19507023.6247855,19240352.4838834,5134941.98696853,54284206.5809456
b_t,1982,20326723.6526765,20157234.4041738,5038809.40261831,57011930.1742539
b_t,1983,20801928.5157081,20832329.9857131,5256527.73029294,57544474.7802097
b_t,1984,17736514.80497,17289453.0760162,4522608.53103139,46885697.2290425
b_t,1985,18379097.0484216,17840226.9553694,4741446.97517709,51675204.4790065
b_t,1986,17697102.4481862,17114907.8544913,4539520.5857807,49030491.5687307
b_t,1987,16905822.7615019,16512630.2787626,4329562.21374141,47132585.381401
b_t,1988,16399949.9361142,16122262.9537982,4192964.00143071,45822575.125456
b_t,1989,17349069.7118944,16959463.0708558,4510554.39223269,48282834.762709
b_t,1990,16035323.7089001,16122554.7543428,3992893.22665522,44732296.68883
b_t,1991,12065477.3379307,12033024.6673012,3071987.5930501,33777354.2332713
b_t,1992,9747104.54093139,9507244.72630706,2487721.09948101,27369920.7107019
b_t,1993,7195247.21404417,7193251.46072687,1837811.053815,19374579.073998
b_t,1994,7486763.34289189,7182621.53557687,1978576.23844184,20062349.1673152
b_t,1995,8374778.72025621,8301260.74316439,2199044.64542405,23700020.5452821
b_t,1996,8817810.34419327,8819868.4566276,2299393.74098973,24706115.3700602
b_t,1997,8985128.86694676,8886586.79800574,2343364.95343493,24727504.8693462
b_t,1998,11413664.3425566,11107639.1474129,3014771.72632764,31749354.776458
b_t,1999,12953821.1891638,12813711.3333982,3320269.59862545,35467027.1678453
b_t,2000,13262685.9561159,13129454.8650534,3408765.71197062,36163175.5046656
b_t,2001,12496250.1211536,12207231.1993283,3285593.56015057,34538145.7174589
b_t,2002,14771951.9513791,14299931.7802813,3940905.51864281,40498618.8749727
b_t,2003,21955255.4949694,21523625.3737916,5798877.84429032,61068489.3674856
b_t,2004,27578698.3918147,27032815.2557015,7269582.30236333,77344351.9848984
b_t,2005,28141112.7632392,27291345.6195096,7616036.3919273,75251709.2606987
b_t,2006,26746463.4323076,26271276.2890069,6853626.65633827,72680630.9949633
b_t,2007,24704333.9259179,23627966.6263888,6317625.09723958,67167436.1042143
b_t,2008,24270446.5870589,23280771.5978388,6062013.57683362,67161846.4421983
b_t,2009,23235448.2217994,23219030.2592117,6105520.63136141,61363011.4565781
b_t,2010,23281214.1528062,22872799.7836665,6109382.55443321,63494057.6810511
b_t,2011,23596049.4498267,23188106.363859,6198055.62719651,64120204.591569
b_t,2012,24434733.4749504,24351195.3683187,6203743.40780391,68511341.6887698
b_t,2013,22946675.2591809,23194647.4141564,5972746.13277565,63395230.8897537
b_t,2014,23034935.0823666,22847416.4297957,5977556.77869381,62537803.0017044
b_t,2015,24307010.0771023,23535288.4034341,6259185.45226048,66610591.7118996
b_t,2016,23106986.39109,21958962.5639899,5977145.86793653,64183954.6070839
b_t,2017,22956846.4185159,21937064.4761033,5915242.45501553,64057693.2989882
b_t,2018,20952467.6876345,20151940.5611877,5359824.39773662,57190308.1805118
b_t,2019,20243158.8999078,19935902.5281979,5277614.92284072,54762833.5387592
b_t,2020,19953897.9657523,19707781.0701829,5182014.17449751,54767301.4776919
b_t,2021,20367522.228627,19785651.5641115,5225290.7544516,56441055.2329363
b_t,2022,20080078.2471285,19581142.8638502,5215781.28137803,55437991.6112805
bmsy,1950,10319273.5421729,9486781.46197301,3084254.75324321,27556805.3986206
ck,1950,0.00332317598194625,0.00202185804428737,0.000785660615092412,0.00701952416774282
ck,1951,0.00330015166798357,0.00200784978993896,0.000780217239006322,0.00697089005110719
ck,1952,0.00428252239705775,0.00260553530880451,0.00101246795201285,0.00904594569422747
ck,1953,0.00369156500534907,0.00224599011386195,0.000872754632469862,0.00779767003391293
ck,1954,0.00347667140836409,0.00211524640661011,0.000821949788999683,0.00734375161198037
