variable,year,mean,sd,lower,upper
b_t,1972,487558.232100925,615630.849525195,105322.734239097,1440925.05276142
b_t,1973,466234.521985969,631045.331216861,90114.5635831726,1404677.79150157
b_t,1974,497200.140621929,664826.042374645,92856.7460826189,1576255.81507825
b_t,1975,524175.653444996,677620.578434018,93930.4016354133,1639719.50272803
b_t,1976,566130.886356421,758333.843130347,100915.950796467,1798150.08252915
b_t,1977,573225.370893793,773819.568626371,98563.2615796409,1809659.5347736
b_t,1978,508172.817090424,695324.649490346,90003.5751498084,1598289.64157019
b_t,1979,468579.507091011,623992.387036373,81496.8288354215,1508398.60800565
b_t,1980,466750.654582544,615208.578991627,85086.6937974745,1483457.1342465
b_t,1981,537059.283629364,704662.003315143,97944.978171466,1676941.22824002
b_t,1982,611480.255620703,790842.536478781,116520.247485296,1896679.91240847
b_t,1983,753987.365866312,984875.501548699,141590.020986521,2342775.67273322
b_t,1984,901403.572789363,1199712.20210159,170164.732573179,2847247.81207049
b_t,1985,997874.135358865,1372263.3901238,183286.24899088,3166653.05806217
b_t,1986,871734.303840625,1157344.81739477,160241.945715184,2720771.98275839
b_t,1987,874989.637044105,1176249.6333433,163676.81382226,2737397.63029675
b_t,1988,910940.735625392,1244131.32908261,168930.735799828,2834396.43569355
b_t,1989,854663.775372144,1128617.39330247,158527.794460018,2638426.11608307
b_t,1990,789455.963018872,1007720.83508494,143217.941609397,2541886.11543314
b_t,1991,865736.442065818,1121029.8529081,172228.549220109,2649499.01708676
b_t,1992,957040.454519584,1303323.45997968,180784.551134916,2900622.36093165
b_t,1993,1058134.45676403,1415110.97809992,202933.670393414,3289921.73764001
b_t,1994,1110953.56055852,1471378.58810402,209530.812501605,3461302.20973496
b_t,1995,1111885.70176083,1524390.97851344,206440.9560046,3503121.42672274
b_t,1996,925161.47244537,1250133.18809695,164674.492882988,2874979.98848492
b_t,1997,648272.94004795,861340.771597492,113945.285664114,2085591.08893218
b_t,1998,489809.827482382,643428.791458564,87322.4644192849,1544674.65471161
b_t,1999,391466.405267496,531079.371516991,68866.6405917258,1231692.08310415
b_t,2000,353832.256543537,488535.491571762,62355.6991578392,1132753.56800607
b_t,2001,333814.780632343,455878.031178916,57964.539330118,1048986.81032933
b_t,2002,331561.440243726,445663.254507567,60044.1794060194,1062867.9045385
b_t,2003,357229.710915184,481311.68686192,64363.2847766074,1105872.85426146
b_t,2004,396807.971625668,527034.308413324,72999.4051863412,1250743.88953671
b_t,2005,507370.551321449,663124.590439818,91624.9997518929,1620389.29104494
b_t,2006,578598.805422859,767129.214063302,105216.512657181,1872512.39666833
b_t,2007,530351.804960889,706211.709665849,96253.6701107253,1706198.54784859
b_t,2008,485134.542775552,643782.865884553,86819.6060201804,1465719.22485132
b_t,2009,457582.860304544,614892.243966834,82030.6808816791,1452274.5610417
b_t,2010,426467.02301648,561207.455277143,75514.2080801255,1346260.68745271
b_t,2011,388769.600907816,520932.854065926,67299.0091729519,1188820.46754068
b_t,2012,359865.548711561,474652.245871312,63315.1585536282,1109638.61816226
b_t,2013,357253.249648683,478595.72448274,62686.6993306788,1141664.65564739
b_t,2014,344383.730762087,458902.112291318,60873.5853805422,1077945.71789974
b_t,2015,359277.891724861,484581.015165608,63100.7364106709,1096615.15691904
b_t,2016,422084.107640559,575896.52367916,68690.3387200018,1346811.29051937
b_t,2017,482696.57309995,663733.293042433,75129.5070927956,1521097.65107999
b_t,2018,534663.296776976,722803.67938989,84629.6774233567,1749058.5328376
b_t,2019,580918.376046603,782330.817707315,91594.9303559869,1946267.89469391
b_t,2020,617213.69088997,862983.003171982,100875.208823968,2089473.82714276
b_t,2021,642247.556909909,867619.407574547,109016.835074286,2034937.04343928
b_t,2022,657480.985246781,863795.030858111,121889.881952917,2048907.20321123
bmsy,1972,394177.165602774,480113.708972299,99979.7964438113,1178645.92578773
ck,1972,0.0308207166441854,0.0191926942298708,0.00548850474626433,0.0647031233924498
ck,1973,0.0274546884622226,0.0170965992424842,0.00488908774159038,0.0576366901451526
ck,1974,0.0323357866539011,0.0201361594895862,0.00575830603074602,0.0678837685058829
ck,1975,0.0341367189296009,0.0212576370624554,0.0060790132179601,0.0716645353388318
ck,1976,0.0385008828569581,0.0239752917099375,0.00685617666634133,0.0808263935901046
ck,1977,0.040911654633424,0.0254765288842016,0.00728548311271785,0.0858874200913536
ck,1978,0.0320832749856151,0.0199789152796336,0.00571333914999907,0.0673536609869774
ck,1979,0.0287910945556983,0.0179288068064785,0.00512707283686433,0.0604422591838884
ck,1980,0.0271045071863921,0.0168785341588708,0.0048267280107432,0.0569015410387459
ck,1981,0.0346655641216715,0.0215869598417901,0.00617318913801503,0.0727747605199358
ck,1982,0.0385842593512034,0.0240272119679407,0.00687102422130494,0.0810014290916301
ck,1983,0.0515099981447843,0.0320763353943806,0.00917281945652138,0.108136932842398
ck,1984,0.0654457836115091,0.0407544356606307,0.0116544822147256,0.137392866668788
ck,1985,0.079755572209563,0.0496654353699238,0.0142027468623381,0.167433959744877
ck,1986,0.0564268291197108,0.0351381471806268,0.0100484009835186,0.118459026418068
ck,1987,0.0597761820028245,0.0372238581164127,0.0106448484771998,0.12549045256506
ck,1988,0.0661914076886176,0.0412187511107737,0.0117872617776859,0.138958184153858
ck,1989,0.0589471814314706,0.0367076224082666,0.0104972213592758,0.123750099578464
ck,1990,0.0487704847624367,0.0303703840599895,0.00868497122200259,0.102385766363706
ck,1991,0.0591687246876083,0.0368455819509608,0.0105366734338934,0.124215193911089
ck,1992,0.0677326817393818,0.0421785341658615,0.0120617294365848,0.142193840424913
ck,1993,0.0809966908810439,0.0504383054962001,0.0144237633233679,0.170039488210441
ck,1994,0.0865543297688847,0.0538991615510995,0.0154134589156568,0.181706854640692
ck,1995,0.0897607515190063,0.0558958663303085,0.0159844534579719,0.188438219927926
ck,1996,0.0731497716797805,0.0455518675001269,0.0130263962933636,0.153566147009735
