variable,year,mean,sd,lower,upper
b_t,1977,1349560.76365923,316896.104879752,983829.708626505,1898400.23314992
b_t,1978,1333884.32420072,393670.654977382,920303.105584319,2092332.53565656
b_t,1979,806341.592572549,227648.694757712,518406.009780782,1187479.63706607
b_t,1980,905509.083983741,264241.652262398,586280.910168435,1360820.75900774
b_t,1981,1048815.11956828,292083.398819867,723429.148650465,1559149.19601546
b_t,1982,1174164.31550301,292423.818772798,839135.745986511,1665956.05453146
b_t,1983,1046149.74516501,264592.134209357,753263.682472217,1539671.16531956
b_t,1984,1390405.42280361,332319.808798517,968201.027799883,1988340.04483265
b_t,1985,1346766.95075973,350478.616353441,929655.352470158,1942138.37423299
b_t,1986,1650950.46357813,430216.19984153,1167273.09250559,2412106.59297251
b_t,1987,1467643.75636533,402037.901797036,1066960.59029096,2207047.32536407
b_t,1988,1219760.62206239,314382.111653653,843667.251302778,1795991.61229055
b_t,1989,1324847.52257194,347401.89027862,890439.890361037,1926243.03766684
b_t,1990,1145046.35934948,272743.077014357,838669.96123946,1640275.79153424
b_t,1991,902894.921305785,229413.507940467,632608.552154469,1328716.62888642
b_t,1992,611100.917005637,169357.533538029,434249.017774133,908137.894903112
b_t,1993,495747.171282108,131333.260206952,353076.539440707,735407.96764936
b_t,1994,613174.17203274,144183.835362851,451684.131688145,880593.729476794
b_t,1995,559671.450022824,140163.675439846,402227.654406288,819754.030103229
b_t,1996,739127.95638573,179545.139192289,539211.845276922,1046442.10969463
b_t,1997,841405.877460551,204285.763734399,601745.83634947,1213041.00029714
b_t,1998,748580.132471728,185008.608369847,548233.874423157,1088869.17764859
b_t,1999,736589.442142929,187442.171622898,529707.998440665,1095810.99345808
b_t,2000,700914.233910776,173978.618041414,510842.890082151,1038583.15548111
b_t,2001,629879.040670482,163078.579147806,448371.974074113,910987.897962843
b_t,2002,576780.163402634,143194.808858306,412571.696801035,848196.515689478
b_t,2003,620601.78539695,152277.135931743,428202.871382773,880871.579294287
b_t,2004,675186.381138585,160244.424993281,487861.350041927,956874.163343165
b_t,2005,721774.825205589,171663.127483145,511907.848755571,1027743.97341432
b_t,2006,692854.603245502,175288.902448442,507911.56833334,1000288.38797775
b_t,2007,653187.736342166,160663.242451875,478978.091996886,931826.956696809
b_t,2008,686883.449673289,161939.441610056,516380.875684515,971949.461071762
b_t,2009,715661.23056176,197493.589923613,457182.530455606,1050838.14565474
b_t,2010,704945.288474657,193177.696924744,429335.647825862,1010478.7941069
b_t,2011,724728.886026465,200660.446790173,465647.640788793,1065566.95762116
b_t,2012,713020.633456198,185416.13751083,510191.192712726,1025464.5471097
b_t,2013,671824.278112815,178804.712237174,471366.47472245,970620.555525508
b_t,2014,692628.972215791,177474.136415796,469723.661933351,992687.666793134
b_t,2015,707407.721773295,179149.716102934,508898.007282288,1017759.1547359
b_t,2016,658632.770672831,172233.515782523,443004.953308594,972990.117065102
b_t,2017,612934.653366641,161850.57513351,429793.909201028,892753.098600547
b_t,2018,554732.003564885,146750.513342755,388378.962235851,822345.884316069
b_t,2019,520832.929789658,131656.287948388,370557.001112898,761646.412126869
b_t,2020,499235.979439377,139843.520795248,337685.592102843,746404.686956805
b_t,2021,507620.925678374,127679.926847651,356993.348426651,735539.194185327
b_t,2022,532026.37068997,138345.74077507,378458.139474414,775828.935208591
bmsy,1977,912295.272778208,194484.340982429,685457.072960294,1285827.98814486
ck,1977,0.131337701294338,0.0251806737519653,0.0894917525898449,0.16787484681418
ck,1978,0.177111465679446,0.0339566323382788,0.120681383267769,0.226382522892942
ck,1979,0.0601446571121809,0.0115312128485603,0.0409817647243717,0.0768764414170086
ck,1980,0.0920879638195583,0.0176555318889463,0.062747506568381,0.11770613211048
ck,1981,0.119044087954388,0.0228236851363939,0.0811150489273651,0.152161244125096
ck,1982,0.151765803750787,0.0290972443806439,0.103411188310861,0.193985891371715
ck,1983,0.0787100562940225,0.0150906573589015,0.0536319793538302,0.100606592873757
ck,1984,0.185040509581834,0.0354768254412753,0.126084127705913,0.236517366257631
ck,1985,0.155609911979266,0.0298342546542716,0.106030512230203,0.198899401153243
ck,1986,0.243634055327476,0.0467106520184995,0.166008985896322,0.311411188971226
ck,1987,0.232387071217193,0.0445543280172145,0.158345441388841,0.297035379770759
ck,1988,0.150256922789371,0.0288079547186083,0.102383057009979,0.192057251249631
ck,1989,0.224242309839988,0.0429927765586018,0.152795709949286,0.286624807977119
ck,1990,0.1927424223864,0.0369534719158715,0.131332108052623,0.246361892387603
ck,1991,0.163617139199247,0.031369437425838,0.111486529734996,0.209134177837419
ck,1992,0.090968858083803,0.0174409717424819,0.0619849628917436,0.116275699705258
ck,1993,0.0554639303173492,0.0106338021798705,0.0377923801064319,0.0708935721729337
ck,1994,0.112494951073446,0.0215680542129746,0.0766525546728567,0.143790187377351
ck,1995,0.0707861485219866,0.0135714489786578,0.0482327346061961,0.0904783144716618
ck,1996,0.120447392902997,0.0230927332751781,0.0820712421455453,0.153954937793857
ck,1997,0.156784373786601,0.030059427923738,0.106830774793446,0.200400589266423
ck,1998,0.119501774236936,0.0229114348750295,0.0814269102372392,0.152746255236258
