variable,year,mean,sd,lower,upper
b_t,1950,780946.430409694,81022.3688587602,670220.052916384,969746.146178223
b_t,1951,965297.996308556,101631.815401579,779922.613407074,1093551.95964343
b_t,1952,1085215.32971156,97742.6478361954,969733.015798665,1306745.75259655
b_t,1953,1055375.81008737,78775.1346260496,959716.828495967,1227522.80736953
b_t,1954,866362.986528452,74290.8394464785,713265.919822706,970854.479911963
b_t,1955,959985.774381238,59614.6446501324,858144.545157865,1057584.8246708
b_t,1956,947505.635314009,60448.8051545553,863675.092315845,1045033.88506695
b_t,1957,683470.483659874,51029.8148418963,600561.826893215,781673.608371903
b_t,1958,728825.727018914,48392.8050931566,656189.819908615,814869.719543595
b_t,1959,707137.649798084,42435.3121224215,644312.145786803,788228.231346658
b_t,1960,794053.678538534,53535.1324467886,714346.69521897,882903.868494572
b_t,1961,904383.758729127,51856.2335728888,835688.877128546,1002626.79630079
b_t,1962,819563.371744216,43565.5592234463,755064.957530433,890612.196695342
b_t,1963,626040.535322824,40454.5221047773,558415.757499356,692923.379481444
b_t,1964,719619.155395014,57786.8311170949,630355.265564782,814696.929255274
b_t,1965,605868.789766944,38660.2161903725,550100.71338721,670383.250365032
b_t,1966,669749.66972198,50199.4548811778,584414.341035888,746991.799297832
b_t,1967,729426.536811529,55785.1281004999,663250.518144502,833282.456273782
b_t,1968,710689.519923219,67638.0418960157,633905.654626102,836510.718794603
b_t,1969,653464.687105615,64463.6436639063,573010.919293143,775932.109718508
b_t,1970,563426.817284482,62528.7468891544,491837.260347829,687347.968378089
b_t,1971,467701.908604445,43581.8500277074,417425.442099248,560095.322938979
b_t,1972,418138.289159657,37887.3124312517,372245.393070521,487988.762614295
b_t,1973,350461.723358621,33977.2272353768,308535.894369001,417101.742097648
b_t,1974,344634.87690845,30382.4487665424,309742.404868298,405273.43091931
b_t,1975,290326.002478017,16482.2062328201,268288.802338132,321399.919222448
b_t,1976,279709.17681745,17494.554089192,259009.49146066,317015.105500348
b_t,1977,220075.890572083,19365.4242658245,200148.927550611,259657.822927068
b_t,1978,216659.702328499,16163.1384307943,197777.014224567,250436.09624655
b_t,1979,195093.679227826,18256.6349913985,164688.010160494,226101.857650847
b_t,1980,207511.241869573,11726.6042938632,185633.966716767,224914.974643119
b_t,1981,191827.452177278,12836.7011901813,171464.261243335,217415.383119068
b_t,1982,193755.06504953,12136.6276319503,174553.969753054,215155.787555376
b_t,1983,218754.659479138,11454.5806250201,197834.786606163,236535.778998492
b_t,1984,229222.997026932,16373.9693790438,198377.175660618,252235.285151678
b_t,1985,207490.688317609,16509.82754337,185708.165342667,235584.51820463
b_t,1986,197608.667015785,16118.723610402,170257.35244205,222924.688883846
b_t,1987,176489.102609087,12234.3838361143,163554.144502616,204036.327636302
b_t,1988,159969.416524177,11877.6653970948,148648.412351334,188171.25247968
b_t,1989,169743.314452967,7170.2357779416,159760.669496024,181340.024021621
b_t,1990,206751.47004402,17600.169641567,185042.190907383,238374.30397362
b_t,1991,182245.923001855,19784.2617743742,161838.195833306,227092.794801077
b_t,1992,204261.136653281,21766.9467619863,179419.923232635,252809.959110108
b_t,1993,192304.31646644,9421.31500948779,175550.388132095,207095.115185823
b_t,1994,199661.348682269,13117.074635891,172116.590325131,218225.721730843
b_t,1995,200694.016414572,13094.8578567067,185469.042468441,232111.375118916
b_t,1996,167526.534827537,12830.1710336208,153881.740590806,198605.392264682
b_t,1997,193827.456791543,13923.6818069993,176071.6316839,223723.456747588
b_t,1998,194902.633001168,9606.15722336898,182517.706413822,213600.929483575
